bfs_number,rooms,area,price,postalcode,address,town,description_raw,bfs_name,pop,pop_dens,frg_pct,emp,tax_income,luxurious,area_cat,price_per_m2
112,3.5,122,3180,8633,Sunnenbergstrasse 15,Wolfhausen,"«Grosse Galerie, Terrasse mit Pergola, Berg- und Seesicht»",Bubikon,7344,632.5581395349,11.4106753813,3617.0,82162,0,100 - 500,26.07
112,4.0,87,1690,8633,Blumenbergstrasse 7,Wolfhausen,«Sehr grosse 4 Zimmer Wohnung»,Bubikon,7344,632.5581395349,11.4106753813,3617.0,82162,0,50 - 99,19.43
261,2.5,78,3760,8002,Lavaterstr. 63,Zürich,«Wunderschöne Wohnung im Enge-Quartier»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,0,50 - 99,48.21
261,5.5,195,6900,8002,Parkring 59,Zürich,«Wohnanlage Im Parkring - Exklusive Wohnung zu vermieten»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,0,100 - 500,35.38
261,2.5,59,2920,8044,Flobotstrasse 2,Zürich,«Erstvermietung am Zürichberg: Charmante 2.5-Zimmerwohnung im 2. OG»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,0,50 - 99,49.49
261,3.0,75,3003,8044,Hinterbergstrasse 57,Zürich,«Erstvermietung nach Total-Sanierung: 3-Zimmerwohnung am ruhigen und sonnigen Zürichberg!»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,0,50 - 99,40.04
261,2.5,58,1780,8050,Nansenstrasse 7,Zürich,«Befristet bis 30.11.2023 - Zentrale Wohnung in Oerlikon»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,0,50 - 99,30.69
261,3.0,52,1600,8057,Wehntalerstrasse 223,Zürich,«Gemütliche Wohnung in Stadtnähe»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,0,50 - 99,30.77
261,1.0,15,1240,8050,Baumackerstrasse 47,Zürich,«Wohnen in Mitten von Zürich-Oerlikon»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,0,0 - 49,82.67
261,1.5,35,1870,8048,Zwischenbächen 139,Zürich,«MÖBLIERTES WOHNEN IN ZENTRUM»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,0,0 - 49,53.43
261,2.5,75,3240,8004,Hallwylstrasse 84,Zürich,"«Sonnige Wiedikon 2.5 Zim., +Lag.,1 Min. zum Markt, über Blueground»",Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,0,50 - 99,43.2
261,2.0,80,2790,8005,Pfingstweidstrasse 104 E,Zürich,«Lassen Sie sich von dieser modernen Attikawohnung überzeugen!»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,0,50 - 99,34.88
261,3.5,76,1990,8051,Altwiesenstrasse 346,Zürich,«Wohnen im idyllischen Wohnquartier!»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,0,50 - 99,26.18
261,1.5,25,2100,8004,Badenerstrasse 250,Zürich,«Attraktiv - möbliert - Neubau beim Lochergut»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,0,0 - 49,84.0
261,2.5,48,3190,8004,Schöntalstrasse 27,Zürich,"«Geschmackvolles Werd 2.5 Zim.+Lager, über Blueground»",Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,0,0 - 49,66.46
261,1.5,32,2100,8049,Am Wasser 161,Zürich,«MÖBLIERTE WOHNUNG DIREKT AN DER LIMMAT»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,0,0 - 49,65.62
261,4.5,128,6630,8044,Freudenbergstrasse 94,Zürich,"«Elite Fluntern 4.5 Zim.+W/T, +Lag.,7 Min. zum Markt, über Blueground»",Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,0,100 - 500,51.8
261,2.5,79,3500,8002,Lavaterstr. 63,Zürich,«Grosszügige Single Wohnung an schöner Lage in Zürich Enge»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,0,50 - 99,44.3
