Regions-ID,Regionsname,"Steuerbares Einkommen, in Mio. Franken","Steuerbares Einkommen pro Steuerpflichtigem/-r, in Franken"
1,Aeugst am Albis,98,108'788
2,Affoltern am Albis,391,72'583
3,Bonstetten,224,91'002
4,Hausen am Albis,148,91'766
5,Hedingen,155,94'456
6,Kappel am Albis,50,102'670
7,Knonau,84,84'568
8,Maschwanden,20,72'226
9,Mettmenstetten,200,93'140
10,Obfelden,177,78'384
11,Ottenbach,105,87'757
12,Rifferswil,44,92'269
13,Stallikon,172,99'185
14,Wettswil am Albis,286,121'965
21,Adlikon,22,75'596
22,Benken (ZH),33,82'506
23,Berg am Irchel,31,110'218
24,Buch am Irchel,36,85'199
25,Dachsen,71,81'505
26,Dorf,24,83'258
27,Feuerthalen,123,76'356
28,Flaach,44,74'391
29,Flurlingen,63,92'689
30,Andelfingen,90,88'960
31,Henggart,79,80'276
32,Humlikon,18,85'112
33,Kleinandelfingen,71,76'788
34,Laufen-Uhwiesen,72,97'686
35,Marthalen,73,77'589
36,Oberstammheim,36,71'899
37,Ossingen,51,73'675
38,Rheinau,43,72'743
39,Thalheim an der Thur,32,78'231
40,Trüllikon,36,75'153
41,Truttikon,14,73'260
42,Unterstammheim,29,77'329
43,Volken,13,87'288
44,Waltalingen,21,73'295
51,Bachenbülach,143,80'529
52,Bassersdorf,414,79'477
53,Bülach,686,78'194
54,Dietlikon,291,82'156
55,Eglisau,193,87'906
56,Embrach,291,73'330
57,Freienstein-Teufen,87,81'071
58,Glattfelden,169,74'507
59,Hochfelden,70,83'569
60,Höri,71,66'111
61,Hüntwangen,40,85'936
62,Kloten,599,70'228
63,Lufingen,102,94'684
64,Nürensdorf,268,99'047
65,Oberembrach,43,82'404
66,Opfikon,613,71'979
67,Rafz,147,77'517
68,Rorbas,79,69'847
69,Wallisellen,647,86'973
70,Wasterkingen,19,74'049
71,Wil (ZH),56,92'974
72,Winkel,266,113'301
81,Bachs,20,78'049
82,Boppelsen,72,120'940
