web-scraper-order,web-scraper-start-url,rooms_area_price_raw,address_raw,price_raw,description_raw,text_raw
"1703955431-1","https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=42","4,5 Zimmer, 148 m², CHF 4180.—","Schaffhauserstrasse 363, 8050 Zürich, ZH","CHF 4180.—","««Renovierte 4.5-Zimmerwohnung an zentraler Lage»»","4,5 Zimmer, 148 m², CHF 4180.—Schaffhauserstrasse 363, 8050 Zürich, ZH««Renovierte 4.5-Zimmerwohnung an zentraler Lage»»Wir vermieten per 01.10.2023 oder nach Vereinbarung eine zentral gelegene 4.5-Zimmer-Dachwohnung.Die gesamte Wohnung wurde in Jahr 2020 saniert. Ein eigener Waschturm ist vorhandenDie Wohnung verfügt über eine TerrasseDie öffentlichen Verkehrsmittel, Bushaltestelle, Einkaufsmöglichkeiten sowie der Autobahnanschluss befinden sich in unmittelbarer Nähe.Haben wir Ihr Interesse geweckt? Für einen Besichtigungstermin können Sie sich beim Hauswart, Herrn Mahmudi, melden: 079 203 04 05Wir freuen uns auf Ihre Bewerbungsunterlagen.Anbieter kontaktierenKontaktieren"
"1703955431-2","https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=42","1,5 Zimmer, 35 m², CHF 1620.—","Bernerstrasse Süd 167, 8048 Zürich, ZH","CHF 1620.—","«City Pop - Furnished Apartment in Zurich-Altstetten»","1,5 Zimmer, 35 m², CHF 1620.—Bernerstrasse Süd 167, 8048 Zürich, ZH«City Pop - Furnished Apartment in Zurich-Altstetten»City Pop - Deine flexible Lösung für lange und kürzere Aufenthalte um dich wie zu Hause zu fühlen.Ab 405CHF/Woche bis 500CHF/Woche, bieten wir zentral gelegene Wohnungen in Zürich-Altstetten an, von rund 30-35 Quadratmeter. Wir bieten verschieden typologien an Pop: M, L oder XL. Diese möblierte Wohnungen garantieren ein authentisches Wohnerlebnis.Top Lage: alle Pop Wohnungen blicken auf einen wunderschönen grünen Park im Inneren des Gebäudes, der ein angenehmer Gemeinschaftsbereich zum Entspannen ist. Die Wohnungen befinden sich NICHT auf der SAnbieter kontaktierenKontaktieren"
"1703955431-3","https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=42","15 m², CHF 2167.—","Militärstrasse 24, 8004 Zürich, ZH","CHF 2167.—","«Studio Apartment Mini»","15 m², CHF 2167.—Militärstrasse 24, 8004 Zürich, ZH«Studio Apartment Mini»This studio impresses with classic marble flooring, fresh color palette and exclusive designer pieces. Moreover, in this limited space maximum comfort is ensured thanks to a sophisticated space layout. The fully fitted kitchenette provides for all the daily needs, from crockery to pans, cutlery and a modern coffee maker. The cozy double bed and the living area with a custom-made sofa and flat screen TV invite guests to enjoy themselves. The separate bathroom with a shower, bright and modern, offers bath towels, a hair dryer, as well as company-Virtuelle Tour"
"1703955431-4","https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=42","4,5 Zimmer, 110 m², CHF 4500.—","8600 Dübendorf, ZH","CHF 4500.—","«Grosszügige 4.5-Zimmer-Maisonette-Wohnung in Dübendorf»","4,5 Zimmer, 110 m², CHF 4500.—8600 Dübendorf, ZH«Grosszügige 4.5-Zimmer-Maisonette-Wohnung in Dübendorf»Dieses exklusive Maisonette-Objekt mit 4.5 Zimmern befindet sich im schönen Kanton Zürich, genauer gesagt in der begehrten Region Dübendorf. Das Wohnzimmer ist lichtdurchflutet und grosszügig geschnitten, während die moderne und grosszügige Küche wahre Kochliebhaber begeistert. Die Immobilie verfügt über 3 Schlafzimmer und 2 Badezimmer und verwöhnt Sie mit einem Balkon für gemütliche Stunden im Freien. Ein Keller bietet zusätzlichen Stauraum, während ein Aussenstellplatz sowie eine Garage für Ihre Fahrzeuge zur Verfügung stehen. Die Schule erre"
"1703955431-5","https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=42","2,5 Zimmer, 50 m², CHF 1650.—","Rütistrasse 16, 8118 Pfaffhausen, ZH","CHF 1650.—","«Wohnung in Pfaffhausen»","2,5 Zimmer, 50 m², CHF 1650.—Rütistrasse 16, 8118 Pfaffhausen, ZH«Wohnung in Pfaffhausen»"
"1703955431-6","https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=42","2,5 Zimmer, 80 m², CHF 2150.—","Dorfstrasse 49a, 8484 Weisslingen, ZH","CHF 2150.—","«Loft in Weisslingen»","2,5 Zimmer, 80 m², CHF 2150.—Dorfstrasse 49a, 8484 Weisslingen, ZH«Loft in Weisslingen»"
"1703955431-7","https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=42","1,5 Zimmer, 30 m², CHF 3790.—","Baurstrasse 29, 8008 Zürich, ZH","CHF 3790.—","«ERFRISCHEND & FARBENFROH - LANGEWEILE ADIÒS! SENIOR STUDIO APARTMENT»","1,5 Zimmer, 30 m², CHF 3790.—Baurstrasse 29, 8008 Zürich, ZH«ERFRISCHEND & FARBENFROH - LANGEWEILE ADIÒS! SENIOR STUDIO APARTMENT»"
"1703955431-8","https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=42","1,5 Zimmer, 25 m², CHF 3490.—","Baurstrasse 29, 8008 Zürich, ZH","CHF 3490.—","«HIGH QUALITY SERVICED STUDIO APARTMENT IN SEEFELD 2 mins from the lake»","1,5 Zimmer, 25 m², CHF 3490.—Baurstrasse 29, 8008 Zürich, ZH«HIGH QUALITY SERVICED STUDIO APARTMENT IN SEEFELD 2 mins from the lake»"
"1703955431-9","https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=42","1,5 Zimmer, 25 m², CHF 3490.—","Baurstrasse 29, 8008 Zürich, ZH","CHF 3490.—","«HIGH QUALITY SERVICED STUDIO APARTMENT IN SEEFELD 2 mins from the lake»","1,5 Zimmer, 25 m², CHF 3490.—Baurstrasse 29, 8008 Zürich, ZH«HIGH QUALITY SERVICED STUDIO APARTMENT IN SEEFELD 2 mins from the lake»"
"1703955431-10","https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=42","2,5 Zimmer, 75 m², CHF 6590.—","Zentralstrasse 37, 8003 Zürich, ZH","CHF 6590.—","«""URBAN LUXURY with ROOFTOP TERRACE ACCESS""»","2,5 Zimmer, 75 m², CHF 6590.—Zentralstrasse 37, 8003 Zürich, ZH«""URBAN LUXURY with ROOFTOP TERRACE ACCESS""»"
